title,price,product_url,image_url,crawl_time,original_price,discount,rating,review_count,sales_tag
"Women's High-Waisted Slim Fit Wide Leg Pants, Bohemian Street Style, Suitable For Spring/Summer Daily Wear, Work Commute, Vacation, Fashion & Elegant (Belt Not Included)",S$19.49,https://sg.shein.com/Women-s-High-Waisted-Slim-Fit-Wide-Leg-Pants-Bohemian-Street-Style-Suitable-For-Spring-Summer-Daily-Wear-Work-Commute-Vacation-Fashion-Elegant-Belt-Not-Included-p-459211533.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_459211533%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2026/05/12/e0/1778579601109ade0a1cc2dfd15a2633a7edf3f90d_thumbnail_600x.webp,2026-05-31T16:26:23+08:00,,,,,NEW
FRIFUL 2-In-1 Splice Contrast Color Pleated Drawstring Tie Slim Casual Versatile T-Shirt Summer Cute Tops,S$1.26,https://sg.shein.com/FRIFUL-2-In-1-Splice-Contrast-Color-Pleated-Drawstring-Tie-Slim-Casual-Versatile-T-Shirt-Summer-Cute-Tops-p-350566412.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_350566412%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/01/04/3c/176749089431b36959e1abfcb629ed63937f460e23_thumbnail_600x.webp,2026-05-31T16:26:23+08:00,,,,,Save S$1.26
Easelle Contrast Color Mesh Polka Dot Women Skirt,S$9.49,https://sg.shein.com/Easelle-Contrast-Color-Mesh-Polka-Dot-Women-Skirt-p-336787732.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_336787732%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2025/12/23/20/17664675651dab68ccad2e14fa825090c70f4f86a7_thumbnail_600x.webp,2026-05-31T16:26:23+08:00,,,,,100+ sold
Easelle Coffee Brown Mesh Polka Dot Women's Casual Summer Skirt,S$9.49,https://sg.shein.com/Easelle-Coffee-Brown-Mesh-Polka-Dot-Women-s-Casual-Summer-Skirt-p-357250397.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_357250397%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/01/07/06/176777836199209265fc16bc979be17c380b0b692e_thumbnail_600x.webp,2026-05-31T16:26:23+08:00,,,,,70+ sold
INAWLY Women's Casual Layered Design Cuffed Sleeve Collared Shirt,S$10.38,https://sg.shein.com/INAWLY-Women-s-Casual-Layered-Design-Cuffed-Sleeve-Collared-Shirt-p-248774452.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_248774452%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2025/10/21/95/1761011200fa577b8ec964ba5e36150e3a094196c7_thumbnail_600x.webp,2026-05-31T16:26:23+08:00,,-13%,,,100+ sold
"Resyla Women's T-Shirt And Shorts Set, Summer Casual Graphic Design Top, Elegant And Versatile, Suitable For Daily Wear, Outdoor, Shopping, Travel",S$15.99,https://sg.shein.com/Resyla-Women-s-T-Shirt-And-Shorts-Set-Summer-Casual-Graphic-Design-Top-Elegant-And-Versatile-Suitable-For-Daily-Wear-Outdoor-Shopping-Travel-p-412787837.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_412787837%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/03/26/24/177450306569d0cb47d77e2b0a6ecd1afc554d7f5c_thumbnail_600x.webp,2026-05-31T16:26:23+08:00,,,,,
Rovax Women's Solid Color Asymmetric Shoulder Casual Everyday T-Shirt,S$0.90,https://sg.shein.com/Rovax-Women-s-Solid-Color-Asymmetric-Shoulder-Casual-Everyday-T-Shirt-p-441667891.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_441667891%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/04/27/37/177729769715d8fcb9c677c27221992aaf95802d6e_thumbnail_600x.webp,2026-05-31T16:26:23+08:00,,,,,Save S$0.90
"Easowa Women's Solid Color Waist Tie Pocket Casual Shorts,Casual",S$10.99,https://sg.shein.com/Easowa-Women-s-Solid-Color-Waist-Tie-Pocket-Casual-Shorts-Casual-p-53361605.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_53361605%7C0-2,https://img.ltwebstatic.com/images3_pi/2025/04/08/74/1744115357f343d7aca8ffe1216f7f3d6af8596b1a_thumbnail_600x.webp,2026-05-31T16:26:23+08:00,,,,,100+ sold
"Women's High Waist Slim Fit Wide Leg Pants, Bohemian Street Style, Suitable For Spring/Summer Daily Wear, Work Commute, Vacation, Fashionable And Elegant",S$19.49,https://sg.shein.com/Women-s-High-Waist-Slim-Fit-Wide-Leg-Pants-Bohemian-Street-Style-Suitable-For-Spring-Summer-Daily-Wear-Work-Commute-Vacation-Fashionable-And-Elegant-p-465252906.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_465252906%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2026/05/07/f1/1778147627113e5d1791f58ca838627b9844203b5c_thumbnail_600x.webp,2026-05-31T16:26:23+08:00,,,,,NEW
"Women's High Waist Slim Fit Wide Leg Pants, Fuchsia Pink, Bohemian Street Style, Casual & Office Wear For Spring/Summer (Belt Not Included)",S$19.49,https://sg.shein.com/Women-s-High-Waist-Slim-Fit-Wide-Leg-Pants-Fuchsia-Pink-Bohemian-Street-Style-Casual-Office-Wear-For-Spring-Summer-Belt-Not-Included-p-465862392.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_465862392%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2026/05/12/5c/1778575623c81a5b76e1f9caa7eede3a45d8f5b268_thumbnail_600x.webp,2026-05-31T16:26:23+08:00,,,,,NEW
