title,price,product_url,image_url,crawl_time,original_price,discount,rating,review_count,sales_tag
"Women Elegant V-Neck Ruffled Blouse, Solid Color Polyester Shirt With Pleated Detail, Woven Fabric, Button Front Closure, Casual Shirt For Spring, Summer, Autumn",S$10.99,https://sg.shein.com/Women-Elegant-V-Neck-Ruffled-Blouse-Solid-Color-Polyester-Shirt-With-Pleated-Detail-Woven-Fabric-Button-Front-Closure-Casual-Shirt-For-Spring-Summer-Autumn-p-66596071.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_66596071%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2025/04/08/f7/1744047099c123f2fb64889cb601a77eba99f86e45_thumbnail_600x.webp,2026-05-31T14:21:59+08:00,,,,,
"Franclia White Polka Dot Lace V-Neck Short Sleeve T-Shirt Women, Ruched Waist Ruffle Hem Cropped Sweet & Spicy Style Top",S$0.82,https://sg.shein.com/Franclia-White-Polka-Dot-Lace-V-Neck-Short-Sleeve-T-Shirt-Women-Ruched-Waist-Ruffle-Hem-Cropped-Sweet-Spicy-Style-Top-p-433833830.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_433833830%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/05/11/4a/17784784057d21312d53061adcfeb213eb42f87645_thumbnail_600x.webp,2026-05-31T14:21:59+08:00,,,,,Save S$0.82
Women's Pocketed Wide Leg Relaxed Denim Shorts Casual Summer,S$16.49,https://sg.shein.com/Women-s-Pocketed-Wide-Leg-Relaxed-Denim-Shorts-Casual-Summer-p-36688932.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_36688932%7C0-2,https://img.ltwebstatic.com/images3_pi/2024/06/07/7d/17177553385fbbf06cd0d16a423641fa7076100105_thumbnail_600x.webp,2026-05-31T14:21:59+08:00,,,,,90+ sold
"Slaydiva Casual Minimalist Letter & Number Graphic Women's T-Shirt, Suitable For Summer, Mesh Fabric, 95 Print, Colorblock, Sports, 90s Top Y2k Jersey",S$1.30,https://sg.shein.com/Slaydiva-Casual-Minimalist-Letter-Number-Graphic-Women-s-T-Shirt-Suitable-For-Summer-Mesh-Fabric-95-Print-Colorblock-Sports-90s-Top-Y2k-Jersey-p-125677553.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_125677553%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2025/07/14/b3/1752482449fc20a09e9e8e257bdb959203b12d6316_thumbnail_600x.webp,2026-05-31T14:21:59+08:00,,,,,Save S$1.30
"Women's Elegant Casual Sleeveless Round Neck A-Line Long Dress With Pockets, Summer New Arrival",S$15.52,https://sg.shein.com/Women-s-Elegant-Casual-Sleeveless-Round-Neck-A-Line-Long-Dress-With-Pockets-Summer-New-Arrival-p-449222375.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_449222375%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2026/04/14/b8/1776133175ce64505c75d97aa38af6c8ceb329fc8a_thumbnail_600x.webp,2026-05-31T14:21:59+08:00,,-3%,,,
Jeanoix BOHO Patchwork Floral Pattern Washed Denim A-Line Skirt,S$28.49,https://sg.shein.com/Jeanoix-BOHO-Patchwork-Floral-Pattern-Washed-Denim-A-Line-Skirt-p-474773676.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_474773676%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/05/22/ac/17794497347f075700c448efd18defe0d2b0d2b8d0_thumbnail_600x.webp,2026-05-31T14:21:59+08:00,,,,,NEW
"SHEIN LUNE Casual Geometric Floral Print Shirt For Women, Minimalist Design Suitable For Summer & Early Autumn Chic Blouses For Women",S$6.99,https://sg.shein.com/SHEIN-LUNE-Casual-Geometric-Floral-Print-Shirt-For-Women-Minimalist-Design-Suitable-For-Summer-Early-Autumn-Chic-Blouses-For-Women-p-160519390.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_160519390%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2025/08/22/93/1755862660f5ab74463336898acf5d48233d53422c_thumbnail_600x.webp,2026-05-31T14:21:59+08:00,,,,,
DAZY Women's Summer Round Neck Casual Commuting Versatile Loose Short Sleeve T-Shirt,S$1.42,https://sg.shein.com/DAZY-Women-s-Summer-Round-Neck-Casual-Commuting-Versatile-Loose-Short-Sleeve-T-Shirt-p-433155621.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_433155621%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/03/31/24/177494094592f29079e41aa8ad146e59ab07998d69_thumbnail_600x.webp,2026-05-31T14:21:59+08:00,,,,,Save S$1.42
"SHEIN Women's Fitted T-Shirt With English Letter Print, Slimming & Elegant Style, European & American",S$6.49,https://sg.shein.com/SHEIN-Women-s-Fitted-T-Shirt-With-English-Letter-Print-Slimming-Elegant-Style-European-American-p-175348657.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_175348657%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2025/09/06/c1/175713878797d82cb433aaaeb5a565e9c446240053_thumbnail_600x.webp,2026-05-31T14:21:59+08:00,,,,,
"Summer New Vintage Leopard Face Print Casual Round Neck Tie-Dye Short Sleeve T-Shirt, Gorgeous Personalized Versatile Blouse For Women",S$6.99,https://sg.shein.com/Summer-New-Vintage-Leopard-Face-Print-Casual-Round-Neck-Tie-Dye-Short-Sleeve-T-Shirt-Gorgeous-Personalized-Versatile-Blouse-For-Women-p-428553047.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_428553047%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2026/04/25/98/177709958548d6ffc830d889ce2378f8281d4aaa30_thumbnail_600x.webp,2026-05-31T14:21:59+08:00,,,,,
