product_id,appear_count,appear_pages,title,product_url
72882535,4,"3,4,5,8","Plivvot Women Casual Versatile Solid Color T-Shirt, Short Sleeve Top For Summer",https://sg.shein.com/Plivvot-Women-Casual-Versatile-Solid-Color-T-Shirt-Short-Sleeve-Top-For-Summer-p-72882535.html
209903633,3,"1,2",SuriyaCove Retro American Y2K Style Minimalist Women Sweatpants,https://sg.shein.com/SuriyaCove-Retro-American-Y2K-Style-Minimalist-Women-Sweatpants-p-209903633.html
445209541,3,"2,7,8","Women's Casual Short Sleeve Round Neck T-Shirt - Printed Pattern, Soft & Comfortable Fabric, Machine Washable, Summer Tops",https://sg.shein.com/Women-s-Casual-Short-Sleeve-Round-Neck-T-Shirt-Printed-Pattern-Soft-Comfortable-Fabric-Machine-Washable-Summer-Tops-p-445209541.html
57883154,3,"2,7,8","2025 Autumn/Winter Women Wide Leg High Waist Casual Loose Trousers, Versatile Suit Pants Black Summer",https://sg.shein.com/2025-Autumn-Winter-Women-Wide-Leg-High-Waist-Casual-Loose-Trousers-Versatile-Suit-Pants-Black-Summer-p-57883154.html
440608961,3,"2,7,9","1pc Women's Summer Loose Crew Neck Short Sleeve T-Shirt, Matcha Coffee Latte Themed Print, Suitable For Vacation, Office, Outing, Daily, Date, Party, Gathering, Street, Carnival, Music Festival, Valentine's Day, Party Occasions Casual",https://sg.shein.com/1pc-Women-s-Summer-Loose-Crew-Neck-Short-Sleeve-T-Shirt-Matcha-Coffee-Latte-Themed-Print-Suitable-For-Vacation-Office-Outing-Daily-Date-Party-Gathering-Street-Carnival-Music-Festival-Valentine-s-Day-Party-Occasions-Casual-p-440608961.html
37551275,3,"2,7,8",DAZY Striped Wide Leg Pants For Dailywear,https://sg.shein.com/DAZY-Striped-Wide-Leg-Pants-For-Dailywear-p-37551275.html
26680307,3,"2,4,5",Olithes 3pcs/set Ladies' Solid Color Strapless Top,https://sg.shein.com/Olithes-3pcs-set-Ladies-Solid-Color-Strapless-Top-p-26680307.html
10887023,3,"3,5,9","SHEIN LUNE Shirred Waist Wide Leg Pants,Teacher Outfits For Women",https://sg.shein.com/SHEIN-LUNE-Shirred-Waist-Wide-Leg-Pants-Teacher-Outfits-For-Women-p-10887023.html
38235874,3,"3,5,10","EMERY ROSE 's Women's Summer Casual Crew Neck Short Sleeve T-Shirt Tops,Solid Color Black And White Basics Everyday For Work Office, Party",https://sg.shein.com/EMERY-ROSE-s-Women-s-Summer-Casual-Crew-Neck-Short-Sleeve-T-Shirt-Tops-Solid-Color-Black-And-White-Basics-Everyday-For-Work-Office-Party-p-38235874.html
417618841,3,"3,4,6","Women's Casual Bohemian Style White Elastic Waist Pocket Linen Wide Leg Pants, Summer Spring",https://sg.shein.com/Women-s-Casual-Bohemian-Style-White-Elastic-Waist-Pocket-Linen-Wide-Leg-Pants-Summer-Spring-p-417618841.html
469428072,3,"4,5,6","Divinelle White And Brown Striped Bowknot Print Sweatshirt For Women,Autumn Casual School Back-To-School Round Neck Long Sleeve Loose Lightweight Pullover",https://sg.shein.com/Divinelle-White-And-Brown-Striped-Bowknot-Print-Sweatshirt-For-Women-Autumn-Casual-School-Back-To-School-Round-Neck-Long-Sleeve-Loose-Lightweight-Pullover-p-469428072.html
149061645,3,"8,9,10","SHEIN Essnce 3pcs Set Women's Blue And White Stripe Nautical Style Casual Summer Vacation Waist Tie Pants With Pockets,Straight Leg Black & White Striped Clothes",https://sg.shein.com/SHEIN-Essnce-3pcs-Set-Women-s-Blue-And-White-Stripe-Nautical-Style-Casual-Summer-Vacation-Waist-Tie-Pants-With-Pockets-Straight-Leg-Black-White-Striped-Clothes-p-149061645.html
439435136,2,"1,2","Lalippa Letter & Numeral Print V-Neck T-Shirt, Fashionable & Minimalist, Gift For Friends",https://sg.shein.com/Lalippa-Letter-Numeral-Print-V-Neck-T-Shirt-Fashionable-Minimalist-Gift-For-Friends-p-439435136.html
47307085,2,"1,2","1pc Women's Retro Solid Color PU Leather Shoulder Bag With Multiple Pockets, Large Capacity, Comes With A Detachable Accessory Charm (Accessory Charm May Vary Slightly), Vintage Bag For Women",https://sg.shein.com/1pc-Women-s-Retro-Solid-Color-PU-Leather-Shoulder-Bag-With-Multiple-Pockets-Large-Capacity-Comes-With-A-Detachable-Accessory-Charm-Accessory-Charm-May-Vary-Slightly-Vintage-Bag-For-Women-p-47307085.html
75117141,2,"1,2",High-End Flowing Straight Leg Casual Maxi Pants For Women Spring,https://sg.shein.com/High-End-Flowing-Straight-Leg-Casual-Maxi-Pants-For-Women-Spring-p-75117141.html
12262603,2,"2,3",Firerie Solid High Waist Wide Leg Pants Bootcut Wide Leg Pants Dress Pants,https://sg.shein.com/Firerie-Solid-High-Waist-Wide-Leg-Pants-Bootcut-Wide-Leg-Pants-Dress-Pants-p-12262603.html
157210594,2,"2,5","Sweetra Women's Casual Pleated Scoop Neck Tank Top, Summer",https://sg.shein.com/Sweetra-Women-s-Casual-Pleated-Scoop-Neck-Tank-Top-Summer-p-157210594.html
464649969,2,"2,7","Ontre Women's Brown Summer Casual City Break Single-Breasted Belted A-Line Skirt,100% Cotton Woven Fabric,Minimalist Elegant Urban Chic Design Pleats,Office",https://sg.shein.com/Ontre-Women-s-Brown-Summer-Casual-City-Break-Single-Breasted-Belted-A-Line-Skirt-100-Cotton-Woven-Fabric-Minimalist-Elegant-Urban-Chic-Design-Pleats-Office-p-464649969.html
454464776,2,"2,3","Street Style Skateboard & Letter Print Loose Fit Round Neck Short Sleeve T-Shirt, Casual Graffiti Pattern Summer Streetwear Pink",https://sg.shein.com/Street-Style-Skateboard-Letter-Print-Loose-Fit-Round-Neck-Short-Sleeve-T-Shirt-Casual-Graffiti-Pattern-Summer-Streetwear-Pink-p-454464776.html
426222457,2,"2,3","1pc Women's Summer Round Neck Short Sleeve T-Shirt, Blue With English Letter Print, Casual Loose Fit, Comfortable For Summer Wear, Suitable For Beach, Street, Daily Activities, Work, Office, Parties And Other Occasions",https://sg.shein.com/1pc-Women-s-Summer-Round-Neck-Short-Sleeve-T-Shirt-Blue-With-English-Letter-Print-Casual-Loose-Fit-Comfortable-For-Summer-Wear-Suitable-For-Beach-Street-Daily-Activities-Work-Office-Parties-And-Other-Occasions-p-426222457.html
29328841,2,"2,6",Women's Summer Casual Versatile Tank Top White,https://sg.shein.com/Women-s-Summer-Casual-Versatile-Tank-Top-White-p-29328841.html
405983524,2,"2,8","Resyla Women's Cinched Waist T-Shirt, Classic Striped Print Pattern Design, Elegant, Suitable For Daily Wear, Casual, Shopping, Office",https://sg.shein.com/Resyla-Women-s-Cinched-Waist-T-Shirt-Classic-Striped-Print-Pattern-Design-Elegant-Suitable-For-Daily-Wear-Casual-Shopping-Office-p-405983524.html
420937384,2,"2,3",Sunnyshic Women's Textured Striped Off Shoulder Asymmetric Design Slimming Waist Sexy Asymmetrical Shoulder Sweet Vacation Style T-Shirt,https://sg.shein.com/Sunnyshic-Women-s-Textured-Striped-Off-Shoulder-Asymmetric-Design-Slimming-Waist-Sexy-Asymmetrical-Shoulder-Sweet-Vacation-Style-T-Shirt-p-420937384.html
441162412,2,"2,10","Women's Summer Camisole, Women's Plaid Camisole Top For Vacation, Graduation, Wedding, Back To School, Retro Vibe, Party, Lunch, Cute Casual Summer, Sweet Romantic Country Style, Textured, Loose Comfortable, Loose Hem Camisole",https://sg.shein.com/Women-s-Summer-Camisole-Women-s-Plaid-Camisole-Top-For-Vacation-Graduation-Wedding-Back-To-School-Retro-Vibe-Party-Lunch-Cute-Casual-Summer-Sweet-Romantic-Country-Style-Textured-Loose-Comfortable-Loose-Hem-Camisole-p-441162412.html
436236893,2,"2,5","Comfortcana 3pcs 100% Cotton Women's Casual Short-Length Shorts Pack,White And Black,Summer,Home Comfortable Woven Fabric Everyday Shorts For Sports,Gym & Street",https://sg.shein.com/Comfortcana-3pcs-100-Cotton-Women-s-Casual-Short-Length-Shorts-Pack-White-And-Black-Summer-Home-Comfortable-Woven-Fabric-Everyday-Shorts-For-Sports-Gym-Street-p-436236893.html
456325049,2,"2,5","SHEIN Franclia French Elegant V-Neck Black & White Contrast Ruffle Trim Short Sleeve Chiffon Blouse, Slim Fit Commuting Wear, Summer New",https://sg.shein.com/SHEIN-Franclia-French-Elegant-V-Neck-Black-White-Contrast-Ruffle-Trim-Short-Sleeve-Chiffon-Blouse-Slim-Fit-Commuting-Wear-Summer-New-p-456325049.html
182894868,2,"2,5","StreetHx Women's Summer V-Neck Tight T-Shirt, Punk Subculture Anime Solid Color Basic V-Neck Short Sleeve Fitted T-Shirt",https://sg.shein.com/StreetHx-Women-s-Summer-V-Neck-Tight-T-Shirt-Punk-Subculture-Anime-Solid-Color-Basic-V-Neck-Short-Sleeve-Fitted-T-Shirt-p-182894868.html
152376312,2,"2,3",Retro American Casual Pear-Shaped Wide Leg Pants Spring Black,https://sg.shein.com/Retro-American-Casual-Pear-Shaped-Wide-Leg-Pants-Spring-Black-p-152376312.html
451252389,2,"2,5","2026 Retro Bride Club Bride Print Short Sleeve T-Shirt, Sweet & Spicy Vintage Style Top For Women Wedding Party Casual Black",https://sg.shein.com/2026-Retro-Bride-Club-Bride-Print-Short-Sleeve-T-Shirt-Sweet-Spicy-Vintage-Style-Top-For-Women-Wedding-Party-Casual-Black-p-451252389.html
327810039,2,"2,5","Women's Summer New Simple Letter ""NEWYORK"" City Skyscraper Graphic Print Casual Vacation Loose Versatile Round Neck Beige Short Sleeve T-Shirt, Everyday Top, Suitable For Daily Vacation Wear",https://sg.shein.com/Women-s-Summer-New-Simple-Letter-NEWYORK-City-Skyscraper-Graphic-Print-Casual-Vacation-Loose-Versatile-Round-Neck-Beige-Short-Sleeve-T-Shirt-Everyday-Top-Suitable-For-Daily-Vacation-Wear-p-327810039.html
33691961,2,"2,8","XLLAIS Women's Solid Color Square Neck Sleeveless Tank Top, Slim Fit Casual Wear, Black, Spring/Summer",https://sg.shein.com/XLLAIS-Women-s-Solid-Color-Square-Neck-Sleeveless-Tank-Top-Slim-Fit-Casual-Wear-Black-Spring-Summer-p-33691961.html
452170241,2,"2,3","1pc Knit Fabric Sleeveless T-Shirt, Casual Street Style For Summer, Fashion Black",https://sg.shein.com/1pc-Knit-Fabric-Sleeveless-T-Shirt-Casual-Street-Style-For-Summer-Fashion-Black-p-452170241.html
75793293,2,"2,7","SHEIN Women's Short Sleeve Solid Color T-Shirt, Fashionable For Summer",https://sg.shein.com/SHEIN-Women-s-Short-Sleeve-Solid-Color-T-Shirt-Fashionable-For-Summer-p-75793293.html
356665321,2,"2,3","New Summer Women Simple Letter & Maple Leaf Sunset Print Round Neck Grey Short Sleeve T-Shirt, Fashionable And Versatile, Suitable For Women's Casual Daily Wear",https://sg.shein.com/New-Summer-Women-Simple-Letter-Maple-Leaf-Sunset-Print-Round-Neck-Grey-Short-Sleeve-T-Shirt-Fashionable-And-Versatile-Suitable-For-Women-s-Casual-Daily-Wear-p-356665321.html
8241157,2,"2,5",SHEIN EZwear 3pcs Solid Tank Top Summer Clothes,https://sg.shein.com/SHEIN-EZwear-3pcs-Solid-Tank-Top-Summer-Clothes-p-8241157.html
426222190,2,"2,3","Summer New Fashion English Slogan Print Casual Round Neck Tie-Dye Short Sleeve T-Shirt, Versatile Plum Blossom & Pine Tree Pattern Design Suitable For Women Black",https://sg.shein.com/Summer-New-Fashion-English-Slogan-Print-Casual-Round-Neck-Tie-Dye-Short-Sleeve-T-Shirt-Versatile-Plum-Blossom-Pine-Tree-Pattern-Design-Suitable-For-Women-Black-p-426222190.html
409724146,2,"2,5","3pcs/Set Women's Square Neck Short Sleeve Solid Color Casual Slim Fit Summer T-Shirts, Y2K Style Cropped Tees, Suitable For Summer, Beach, Street, Daily, Work, Office Party, Vacation Wear. Stylish Y2K Inspired Women Tops White",https://sg.shein.com/3pcs-Set-Women-s-Square-Neck-Short-Sleeve-Solid-Color-Casual-Slim-Fit-Summer-T-Shirts-Y2K-Style-Cropped-Tees-Suitable-For-Summer-Beach-Street-Daily-Work-Office-Party-Vacation-Wear-Stylish-Y2K-Inspired-Women-Tops-White-p-409724146.html
97761235,2,"2,3","Women's Solid Color Button Half Placket Short Sleeve Casual T-Shirt, Summer Black",https://sg.shein.com/Women-s-Solid-Color-Button-Half-Placket-Short-Sleeve-Casual-T-Shirt-Summer-Black-p-97761235.html
341854088,2,"2,3","Women's New Casual Cute Pattern Loose Versatile Round Neck Short Sleeve T-Shirt, Fashionable Everyday Top, Suitable For Daily And Holiday Wear Summer",https://sg.shein.com/Women-s-New-Casual-Cute-Pattern-Loose-Versatile-Round-Neck-Short-Sleeve-T-Shirt-Fashionable-Everyday-Top-Suitable-For-Daily-And-Holiday-Wear-Summer-p-341854088.html
124811795,2,"2,5","SHEIN VCAY 3pcs/Set Women Summer Woven Fashionable Multi-Color Linen Shorts,Summer For Women,Summer Clothes,Festival For Women",https://sg.shein.com/SHEIN-VCAY-3pcs-Set-Women-Summer-Woven-Fashionable-Multi-Color-Linen-Shorts-Summer-For-Women-Summer-Clothes-Festival-For-Women-p-124811795.html
172812008,2,"2,8","INAWLY 2pcs/Set Fitted Short Leopard Print & Solid Color V-Neck Camisole For Women, Summer",https://sg.shein.com/INAWLY-2pcs-Set-Fitted-Short-Leopard-Print-Solid-Color-V-Neck-Camisole-For-Women-Summer-p-172812008.html
140326320,2,"2,3",Casual Solid Color High Waist Elastic Straight Pants Black Spring,https://sg.shein.com/Casual-Solid-Color-High-Waist-Elastic-Straight-Pants-Black-Spring-p-140326320.html
9653617,2,"2,3",Dazy-Less Solid Crew Neck Crop Tee Summer Preppy Tops Business Casual Woman Work Clothes,https://sg.shein.com/Dazy-Less-Solid-Crew-Neck-Crop-Tee-Summer-Preppy-Tops-Business-Casual-Woman-Work-Clothes-p-9653617.html
55376300,2,"2,3","Livesso Women's Solid Color Fitted Tank Top, Minimalist Casual Daily Wear Going Out Tops",https://sg.shein.com/Livesso-Women-s-Solid-Color-Fitted-Tank-Top-Minimalist-Casual-Daily-Wear-Going-Out-Tops-p-55376300.html
429978950,2,"2,3","Franclia White And Black Polka Dot,Summer,Elegant,Tea Party Vintage Pearl Decor Women Tank Top Blouses Work Outfits Casual Cute Latest New Arrivals",https://sg.shein.com/Franclia-White-And-Black-Polka-Dot-Summer-Elegant-Tea-Party-Vintage-Pearl-Decor-Women-Tank-Top-Blouses-Work-Outfits-Casual-Cute-Latest-New-Arrivals-p-429978950.html
41961117,2,"2,3",SHEIN EZwear 3pcs/Set Multicolor Knit Camisole Tops For Women,https://sg.shein.com/SHEIN-EZwear-3pcs-Set-Multicolor-Knit-Camisole-Tops-For-Women-p-41961117.html
410711406,2,"2,3",Franclia 2-3 Pcs Set Summer Fitted Short Leopard Print & Solid Color V-Neck Camisole For Women,https://sg.shein.com/Franclia-2-3-Pcs-Set-Summer-Fitted-Short-Leopard-Print-Solid-Color-V-Neck-Camisole-For-Women-p-410711406.html
155685507,2,"2,5","SHEIN LUNE Women's Casual Solid Color V-Neck Flare Sleeve Twist Front Blouse, Spring/Autumn Brown Top Dark Chocolate Coffee Tie",https://sg.shein.com/SHEIN-LUNE-Women-s-Casual-Solid-Color-V-Neck-Flare-Sleeve-Twist-Front-Blouse-Spring-Autumn-Brown-Top-Dark-Chocolate-Coffee-Tie-p-155685507.html
