product_id,title,price,product_url,image_url,crawl_time,original_price,discount,rating,review_count,sales_tag
100167766,Pariaura Women's Floral Print Ruffle Hem Short Sleeve Vacation Fashion Blouse,S$11.99,https://sg.shein.com/Pariaura-Women-s-Floral-Print-Ruffle-Hem-Short-Sleeve-Vacation-Fashion-Blouse-p-100167766.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_100167766%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2025/06/16/bb/1750039270bfc7f3de651cbbf373b799cb755ad341_thumbnail_600x.webp,2026-05-31T14:20:17+08:00,,,,,100+ sold
474120718,Jeanoix Low Waist Striped Pocket Washed Casual Denim Shorts,S$19.49,https://sg.shein.com/Jeanoix-Low-Waist-Striped-Pocket-Washed-Casual-Denim-Shorts-p-474120718.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_474120718%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/05/18/7b/177907394724005c026f46fe4c425e0ffacc13e4a6_thumbnail_600x.webp,2026-05-31T14:20:17+08:00,,,,,NEW
437578225,EMERY ROSE Women's Ruffle Collar Short Sleeve Single-Breasted Striped Shirt,S$9.49,https://sg.shein.com/EMERY-ROSE-Women-s-Ruffle-Collar-Short-Sleeve-Single-Breasted-Striped-Shirt-p-437578225.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_437578225%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/04/02/35/17750934186955913c494e4551eb57afa1da509df8_thumbnail_600x.webp,2026-05-31T14:20:17+08:00,,,,,60+ sold
304274062,Loose Batwing Sleeve Flattering Casual Linen Shirt Spring,S$9.56,https://sg.shein.com/Loose-Batwing-Sleeve-Flattering-Casual-Linen-Shirt-Spring-p-304274062.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_304274062%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2025/11/10/2e/17627428813c8ca175dbeeb6f606e8ee4b68beb8af_thumbnail_600x.webp,2026-05-31T14:20:17+08:00,,-13%,,,60+ sold
409683162,Franclia Women's Casual Elegant Knitted Collared Striped Tank Top,S$1.20,https://sg.shein.com/Franclia-Women-s-Casual-Elegant-Knitted-Collared-Striped-Tank-Top-p-409683162.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_409683162%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/05/28/32/1779946449f9bd5d995957f964e4463d996f6f07cf_thumbnail_600x.webp,2026-05-31T14:20:17+08:00,,,,,Save S$1.20
450075844,"2026 Loose Casual ""Just A Girl Who Loves To Drink"" Graphic T-Shirt, Short Sleeve, European And American Style Black Summer",S$2.11,https://sg.shein.com/2026-Loose-Casual-Just-A-Girl-Who-Loves-To-Drink-Graphic-T-Shirt-Short-Sleeve-European-And-American-Style-Black-Summer-p-450075844.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_450075844%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2026/05/23/40/177952378110db1d5515d6d0eae5df35dfd3250cb8_thumbnail_600x.webp,2026-05-31T14:20:17+08:00,,,,,Save S$2.11
456325049,"SHEIN Franclia French Elegant V-Neck Black & White Contrast Ruffle Trim Short Sleeve Chiffon Blouse, Slim Fit Commuting Wear, Summer New",S$6.99,https://sg.shein.com/SHEIN-Franclia-French-Elegant-V-Neck-Black-White-Contrast-Ruffle-Trim-Short-Sleeve-Chiffon-Blouse-Slim-Fit-Commuting-Wear-Summer-New-p-456325049.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_456325049%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/04/28/cf/1777378006f68c2b5163d0a9e09812f87dc4e99e1d_thumbnail_600x.webp,2026-05-31T14:20:17+08:00,,,,,
480958833,"SHEIN PETITE White Cotton Trousers For Spring And Summer, Casual And Vacation-Ready, Stylish, Versatile, Sophisticated, Vintage-Inspired, Suitable For Commuting, Fashionable, Individualistic, And Sexy At Home.",S$24.99,https://sg.shein.com/SHEIN-PETITE-White-Cotton-Trousers-For-Spring-And-Summer-Casual-And-Vacation-Ready-Stylish-Versatile-Sophisticated-Vintage-Inspired-Suitable-For-Commuting-Fashionable-Individualistic-And-Sexy-At-Home-p-480958833.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_480958833%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/05/28/d6/1779946563e775a2506d18c6578ed34d53c4251eb7_thumbnail_600x.webp,2026-05-31T14:20:17+08:00,,,,,NEW
433577644,"Floral Print Ruffle Collar Blouse, Polyester Fabric, Suitable For Vacation, Daily Wear, Travel, Spring/Summer",S$14.49,https://sg.shein.com/Floral-Print-Ruffle-Collar-Blouse-Polyester-Fabric-Suitable-For-Vacation-Daily-Wear-Travel-Spring-Summer-p-433577644.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_433577644%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2026/05/08/97/17782203839ae8a89cff6de7211e22c9e45acd3560_thumbnail_600x.webp,2026-05-31T14:20:17+08:00,,,,,50+ sold
415494283,INAWLY Women's Fashion Color Block Button Front Short Sleeve T-Shirt Jersey,S$10.49,https://sg.shein.com/INAWLY-Women-s-Fashion-Color-Block-Button-Front-Short-Sleeve-T-Shirt-Jersey-p-415494283.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_415494283%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/04/27/a0/1777262857c2028738dc7f0250bdccf48bc0de4d74_thumbnail_600x.webp,2026-05-31T14:20:17+08:00,,,,,50+ sold
