title,price,product_url,image_url,crawl_time,original_price,discount,rating,review_count,sales_tag
"Sweetra Women's Vintage Elegant Jacquard Pleated Wide Leg Pants, Autumn/Winter",S$16.49,https://sg.shein.com/Sweetra-Women-s-Vintage-Elegant-Jacquard-Pleated-Wide-Leg-Pants-Autumn-Winter-p-307971017.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_307971017%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2025/11/27/69/17642082492584bb41574ed4edfa8fa1e0dccf8d97_thumbnail_600x.webp,2026-06-02T16:31:58+08:00,,,,,21.4k+ sold
SHEIN PETITE Women's Solid Color Tie Waist Wide Leg Loose Casual Versatile Pants,S$10.99,https://sg.shein.com/SHEIN-PETITE-Women-s-Solid-Color-Tie-Waist-Wide-Leg-Loose-Casual-Versatile-Pants-p-447979970.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_447979970%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/04/20/c9/17766501777ab294259b787e12b2c6d450913c11f3_thumbnail_600x.webp,2026-06-02T16:31:58+08:00,,,,,6k+ sold
Women's Spring/Summer High-Waisted Draped Pleated Crisp Cut Daily Commute Suitable For Workplace And Casual Beige Suit Pants,S$15.65,https://sg.shein.com/Women-s-Spring-Summer-High-Waisted-Draped-Pleated-Crisp-Cut-Daily-Commute-Suitable-For-Workplace-And-Casual-Beige-Suit-Pants-p-169595595.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_169595595%7C0-2,https://img.ltwebstatic.com/v4/j/ssms/2026/01/19/45/17688017216ccdeffef907b6e20acb921224aecee1_thumbnail_600x.webp,2026-06-02T16:31:58+08:00,,-13%,,,50.7k+ sold
"Resyla Women's Minimalist Faux Pearl Heart Studded Round Neck Short Sleeve T-Shirt, Summer",S$5.49,https://sg.shein.com/Resyla-Women-s-Minimalist-Faux-Pearl-Heart-Studded-Round-Neck-Short-Sleeve-T-Shirt-Summer-p-69636137.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_69636137%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2025/06/16/7d/1750041664717882f8235686c2a05efffbb847ba1c_thumbnail_600x.webp,2026-06-02T16:31:58+08:00,,,,,51.6k+ sold
"Sweetra Women's Vintage Elegant Color Woven Jacquard Pleated Wide Leg Pants, For Autumn/Winter Fall Cloth For Women",S$16.49,https://sg.shein.com/Sweetra-Women-s-Vintage-Elegant-Color-Woven-Jacquard-Pleated-Wide-Leg-Pants-For-Autumn-Winter-Fall-Cloth-For-Women-p-74403544.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_74403544%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2025/05/08/9f/17466714176d221b087fa47b270d3f4514e99e115a_thumbnail_600x.webp,2026-06-02T16:31:58+08:00,,,(1000+),,51.5k+ sold
INAWLY Women's Summer Solid Color Round Neck Short Sleeve Casual T-Shirt,S$6.71,https://sg.shein.com/INAWLY-Women-s-Summer-Solid-Color-Round-Neck-Short-Sleeve-Casual-T-Shirt-p-36237524.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_36237524%7C0-2,https://img.ltwebstatic.com/images3_pi/2024/06/04/13/17174913041308fe6f24bef561222de87b09b6cf1e_thumbnail_600x.webp,2026-06-02T16:31:58+08:00,,-4%,(1000+),,90k+ sold
"DAZY Women Business Casual Pants,Women Dress Pants Fall Low Rise",S$23.49,https://sg.shein.com/DAZY-Women-Business-Casual-Pants-Women-Dress-Pants-Fall-Low-Rise-p-47671471.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_47671471%7C0-2,https://img.ltwebstatic.com/images3_pi/2024/11/15/5e/17316340416ffe08afce6a13c77fb7b5313844d852_thumbnail_600x.webp,2026-06-02T16:31:58+08:00,,,,,12.2k+ sold
"Vela Rue Minimalist Design Jumpsuit, Thin Solid Color Suit Pants With Zipper & Hook Closure, Flared Leg Slimming Trousers, Fashion All Season Spring",S$13.91,https://sg.shein.com/Vela-Rue-Minimalist-Design-Jumpsuit-Thin-Solid-Color-Suit-Pants-With-Zipper-Hook-Closure-Flared-Leg-Slimming-Trousers-Fashion-All-Season-Spring-p-208827936.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_208827936%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2026/01/14/38/1768402718c1cb8279fafd96b490eda036f252eff4_thumbnail_600x.webp,2026-06-02T16:31:58+08:00,,-4%,,,90k+ sold
Dazy Designer Women's Fashionable Loose Fit Solid Color Shorts With Drawstring Waist Design Summer Sweater Shorts,S$1.30,https://sg.shein.com/Dazy-Designer-Women-s-Fashionable-Loose-Fit-Solid-Color-Shorts-With-Drawstring-Waist-Design-Summer-Sweater-Shorts-p-34628601.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_34628601%7C0-2,https://img.ltwebstatic.com/images3_pi/2024/05/08/33/17151362726ae84bbb5257b1494ad8bde1419edc6c_thumbnail_600x.webp,2026-06-02T16:31:58+08:00,,,,,SAVE S$1.30
SHEIN EZwear Casual Versatile Solid Color High Waisted Wide Leg Pants,S$17.49,https://sg.shein.com/SHEIN-EZwear-Casual-Versatile-Solid-Color-High-Waisted-Wide-Leg-Pants-p-17027747.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_17027747%7C0-2,https://img.ltwebstatic.com/images3_pi/2023/05/31/16855155165c9b2213a86ec0a670569b7f67b729a7_thumbnail_600x.webp,2026-06-02T16:31:58+08:00,,,(1000+),,28.8k+ sold
