title,price,product_url,image_url,crawl_time,original_price,discount,rating,review_count,sales_tag
SHEIN PETITE Ladies' Solid Color Simple Everyday Casual Trousers,S$16.99,https://sg.shein.com/SHEIN-PETITE-Ladies-Solid-Color-Simple-Everyday-Casual-Trousers-p-36391039.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_36391039%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2025/09/09/a0/1757398064c37c1de29294be10ed4372667388d2fb_thumbnail_600x.webp,2026-06-02T16:24:45+08:00,,,,,25.5k+ sold
"Plivvot Women Casual Versatile Solid Color T-Shirt, Short Sleeve Top For Summer",S$1.32,https://sg.shein.com/Plivvot-Women-Casual-Versatile-Solid-Color-T-Shirt-Short-Sleeve-Top-For-Summer-p-72882535.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_72882535%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2025/05/04/39/1746325950fdee45ee7174d2fabe8c58b93eb231ce_thumbnail_600x.webp,2026-06-02T16:24:45+08:00,,,,,SAVE S$1.32
"Women's Casual Bohemian Style White Elastic Waist Pocket Linen Wide Leg Pants, Summer Spring",S$11.49,https://sg.shein.com/Women-s-Casual-Bohemian-Style-White-Elastic-Waist-Pocket-Linen-Wide-Leg-Pants-Summer-Spring-p-417618841.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_417618841%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2026/03/10/3e/1773122112f05eee8c0b83ba304115cbc1185ecc4a_thumbnail_600x.webp,2026-06-02T16:24:45+08:00,,,,,5k+ sold
SHEIN PETITE White Women's Shirt Waist Cinch Pleated Short Sleeve Shirt,S$12.99,https://sg.shein.com/SHEIN-PETITE-White-Women-s-Shirt-Waist-Cinch-Pleated-Short-Sleeve-Shirt-p-59288276.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_59288276%7C0-2,https://img.ltwebstatic.com/images3_pi/2025/03/03/53/1740986393227a46d6e911ff18eb5ba11dc848ce31_thumbnail_600x.webp,2026-06-02T16:24:45+08:00,,,,,6.3k+ sold
"Aloruh Loose Textured Casual Wide Leg Pants, Summer Resort Wear, Fall Women , Vacation Women",S$1.62,https://sg.shein.com/Aloruh-Loose-Textured-Casual-Wide-Leg-Pants-Summer-Resort-Wear-Fall-Women-Vacation-Women-p-83450765.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_83450765%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2025/05/22/b0/17478915926e2c54380e1a50a1bd2fd9652656e298_thumbnail_600x.webp,2026-06-02T16:24:45+08:00,,,,,SAVE S$1.62
"Women's Minimalist Design Flared Leg Casual Trousers, Suitable For Commuting, Office, Daily Wear, All Seasons Spring Black",S$16.49,https://sg.shein.com/Women-s-Minimalist-Design-Flared-Leg-Casual-Trousers-Suitable-For-Commuting-Office-Daily-Wear-All-Seasons-Spring-Black-p-225674364.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_225674364%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2025/10/19/53/1760840675e26c7a2ec7864ab6088d866e16ce9d36_thumbnail_600x.webp,2026-06-02T16:24:45+08:00,,,,,22.1k+ sold
"Resyla Women's Casual Outdoor Strawberry & Fruit Graphic Tee, Sweet Summer For Dates, Back To School, Teacher's Day, White Short Sleeve T-Shirt",S$3.99,https://sg.shein.com/Resyla-Women-s-Casual-Outdoor-Strawberry-Fruit-Graphic-Tee-Sweet-Summer-For-Dates-Back-To-School-Teacher-s-Day-White-Short-Sleeve-T-Shirt-p-393655489.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_393655489%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/02/01/12/1769938973e827a34b7174732ade08310796b18a90_thumbnail_600x.webp,2026-06-02T16:24:45+08:00,,-47%,,,4.9k+ sold
"Muchica Women's Beige Multicolor Striped Loose Fit Oversize Short Sleeve T-Shirt,Summer Casual City Break Style,Cute Retro Vintage Y2K Soft Clean Girl Top",S$8.99,https://sg.shein.com/Muchica-Women-s-Beige-Multicolor-Striped-Loose-Fit-Oversize-Short-Sleeve-T-Shirt-Summer-Casual-City-Break-Style-Cute-Retro-Vintage-Y2K-Soft-Clean-Girl-Top-p-448882768.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_448882768%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/04/21/7c/177677183941eed29b223fb3737d0659381f0680cc_thumbnail_600x.webp,2026-06-02T16:24:45+08:00,,,,,724 sold
"Lucky Dice Pattern T-Shirt, Y2K Aesthetic Graphic Tee, Retro Lucky Vibe Casual Short Sleeve, Streetwear Style Top Black Summer",S$4.64,https://sg.shein.com/Lucky-Dice-Pattern-T-Shirt-Y2K-Aesthetic-Graphic-Tee-Retro-Lucky-Vibe-Casual-Short-Sleeve-Streetwear-Style-Top-Black-Summer-p-450142407.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_450142407%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2026/04/24/27/17770278341951970088288431591c77a6f51b0ded_thumbnail_600x.webp,2026-06-02T16:24:45+08:00,,-7%,,,112 sold
INAWLY Solva Women's Summer Solid Color Round Neck Short Sleeve Pleated Casual T-Shirt,S$10.49,https://sg.shein.com/INAWLY-Solva-Women-s-Summer-Solid-Color-Round-Neck-Short-Sleeve-Pleated-Casual-T-Shirt-p-36389888.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_36389888%7C0-2,https://img.ltwebstatic.com/images3_pi/2024/06/06/71/17176390282bc6595c04674c0a8340cf9cc432301c_thumbnail_600x.webp,2026-06-02T16:24:45+08:00,,,,,3.4k+ sold
