product_id,source_page,appear_count,appear_pages,title,price,product_url,image_url,crawl_time,original_price,discount,rating,review_count,sales_tag,product_url_original,product_url_clean,url_query_removed,removed_query_keys,has_risk_marker,risk_marker_keywords,url_product_id,product_id_match
231997084,1,1,1,"Vela Rue Minimalist Design Pants With Hook & Zipper Closure, Lightweight Semi-Sheer Solid Color Wide Leg Pants, Apricot Color, Fashionable Wide Leg Trousers For All Seasons Spring",S$13.91,https://sg.shein.com/Vela-Rue-Minimalist-Design-Pants-With-Hook-Zipper-Closure-Lightweight-Semi-Sheer-Solid-Color-Wide-Leg-Pants-Apricot-Color-Fashionable-Wide-Leg-Trousers-For-All-Seasons-Spring-p-231997084.html,https://img.ltwebstatic.com/v4/j/spmp/2026/01/14/16/1768402951de087a2dfaf8685c2e60e72112308334_thumbnail_600x.webp,2026-06-02T16:19:31+08:00,,-4%,(1000+),,90k+ sold,https://sg.shein.com/Vela-Rue-Minimalist-Design-Pants-With-Hook-Zipper-Closure-Lightweight-Semi-Sheer-Solid-Color-Wide-Leg-Pants-Apricot-Color-Fashionable-Wide-Leg-Trousers-For-All-Seasons-Spring-p-231997084.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_231997084%7C0-2,https://sg.shein.com/Vela-Rue-Minimalist-Design-Pants-With-Hook-Zipper-Closure-Lightweight-Semi-Sheer-Solid-Color-Wide-Leg-Pants-Apricot-Color-Fashionable-Wide-Leg-Trousers-For-All-Seasons-Spring-p-231997084.html,True,"mallCode,pageListType,detailBusinessFrom",False,,231997084,True
451721010,1,1,1,"2000s Style Fitted Women Short Sleeve T-Shirt, Square Neck High Elasticity Cropped Tight Top With Midriff Exposed Design Casual White",S$1.41,https://sg.shein.com/2000s-Style-Fitted-Women-Short-Sleeve-T-Shirt-Square-Neck-High-Elasticity-Cropped-Tight-Top-With-Midriff-Exposed-Design-Casual-White-p-451721010.html,https://img.ltwebstatic.com/v4/j/spmp/2026/05/04/a0/1777892787b1005d815b7d8d286a8a0eee353b400d_thumbnail_600x.webp,2026-06-02T16:19:31+08:00,,,,,SAVE S$1.41,https://sg.shein.com/2000s-Style-Fitted-Women-Short-Sleeve-T-Shirt-Square-Neck-High-Elasticity-Cropped-Tight-Top-With-Midriff-Exposed-Design-Casual-White-p-451721010.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_451721010%7C0-2,https://sg.shein.com/2000s-Style-Fitted-Women-Short-Sleeve-T-Shirt-Square-Neck-High-Elasticity-Cropped-Tight-Top-With-Midriff-Exposed-Design-Casual-White-p-451721010.html,True,"mallCode,pageListType,detailBusinessFrom",False,,451721010,True
26262330,1,1,1,EMERY ROSE 3pcs Women's Crop Tank Tops With Hem Stripe Design,S$11.99,https://sg.shein.com/EMERY-ROSE-3pcs-Women-s-Crop-Tank-Tops-With-Hem-Stripe-Design-p-26262330.html,https://img.ltwebstatic.com/images3_pi/2023/11/10/4a/16996008317237c76a5411056bc5633e204e73c897_thumbnail_600x.webp,2026-06-02T16:19:31+08:00,,,,,3.6k+ sold,https://sg.shein.com/EMERY-ROSE-3pcs-Women-s-Crop-Tank-Tops-With-Hem-Stripe-Design-p-26262330.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_26262330%7C0-2,https://sg.shein.com/EMERY-ROSE-3pcs-Women-s-Crop-Tank-Tops-With-Hem-Stripe-Design-p-26262330.html,True,"mallCode,pageListType,detailBusinessFrom",False,,26262330,True
59191488,1,1,1,"Sweetra Women's Casual Versatile Tank Top, Summer Graphic Cheetah Print Tees Women Tops",S$17.99,https://sg.shein.com/Sweetra-Women-s-Casual-Versatile-Tank-Top-Summer-Graphic-Cheetah-Print-Tees-Women-Tops-p-59191488.html,https://img.ltwebstatic.com/images3_pi/2025/02/25/04/1740468893ebef5d899b760b8c17eafe5af388fa39_thumbnail_600x.webp,2026-06-02T16:19:31+08:00,,,,,17.5k+ sold,https://sg.shein.com/Sweetra-Women-s-Casual-Versatile-Tank-Top-Summer-Graphic-Cheetah-Print-Tees-Women-Tops-p-59191488.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_59191488%7C0-2,https://sg.shein.com/Sweetra-Women-s-Casual-Versatile-Tank-Top-Summer-Graphic-Cheetah-Print-Tees-Women-Tops-p-59191488.html,True,"mallCode,pageListType,detailBusinessFrom",False,,59191488,True
451605206,1,1,1,"Ins Blogger Same Style ""Mama"" Print Short Sleeve T-Shirt, Minimalist White Text On Black Background, Casual European And American Style, Relaxed Fit Sweet & Spicy Mom Vibe Summer",S$1.64,https://sg.shein.com/Ins-Blogger-Same-Style-Mama-Print-Short-Sleeve-T-Shirt-Minimalist-White-Text-On-Black-Background-Casual-European-And-American-Style-Relaxed-Fit-Sweet-Spicy-Mom-Vibe-Summer-p-451605206.html,https://img.ltwebstatic.com/v4/j/spmp/2026/05/15/2c/177884222596dd71594637f4af2bc86f75b03ec0e8_thumbnail_600x.webp,2026-06-02T16:19:31+08:00,,,,,SAVE S$1.64,https://sg.shein.com/Ins-Blogger-Same-Style-Mama-Print-Short-Sleeve-T-Shirt-Minimalist-White-Text-On-Black-Background-Casual-European-And-American-Style-Relaxed-Fit-Sweet-Spicy-Mom-Vibe-Summer-p-451605206.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_451605206%7C0-2,https://sg.shein.com/Ins-Blogger-Same-Style-Mama-Print-Short-Sleeve-T-Shirt-Minimalist-White-Text-On-Black-Background-Casual-European-And-American-Style-Relaxed-Fit-Sweet-Spicy-Mom-Vibe-Summer-p-451605206.html,True,"mallCode,pageListType,detailBusinessFrom",False,,451605206,True
422583105,1,1,1,"SHEIN White And Blue Flowers Patten Graphic Tee,Summer Casual Outfit For Women,Women's Beach Top,Y2k Holiday Vacation T-Shirt,Gift For Sister,Holiday",S$6.49,https://sg.shein.com/SHEIN-White-And-Blue-Flowers-Patten-Graphic-Tee-Summer-Casual-Outfit-For-Women-Women-s-Beach-Top-Y2k-Holiday-Vacation-T-Shirt-Gift-For-Sister-Holiday-p-422583105.html,https://img.ltwebstatic.com/v4/j/pi/2026/03/16/b8/177362339983af29f55c926afab28ce79fd02dedbd_thumbnail_600x.webp,2026-06-02T16:19:31+08:00,,,,,19.1k+ sold,https://sg.shein.com/SHEIN-White-And-Blue-Flowers-Patten-Graphic-Tee-Summer-Casual-Outfit-For-Women-Women-s-Beach-Top-Y2k-Holiday-Vacation-T-Shirt-Gift-For-Sister-Holiday-p-422583105.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_422583105%7C0-2,https://sg.shein.com/SHEIN-White-And-Blue-Flowers-Patten-Graphic-Tee-Summer-Casual-Outfit-For-Women-Women-s-Beach-Top-Y2k-Holiday-Vacation-T-Shirt-Gift-For-Sister-Holiday-p-422583105.html,True,"mallCode,pageListType,detailBusinessFrom",False,,422583105,True
450499685,1,1,1,"Y2K Style Pink Hibiscus Graphic Women's Retro Surfing Casual T-Shirt, Enjoy Every Moment Of Summer Ladies Vintage Beach Holiday Loose Top",S$3.05,https://sg.shein.com/Y2K-Style-Pink-Hibiscus-Graphic-Women-s-Retro-Surfing-Casual-T-Shirt-Enjoy-Every-Moment-Of-Summer-Ladies-Vintage-Beach-Holiday-Loose-Top-p-450499685.html,https://img.ltwebstatic.com/v4/j/spmp/2026/05/04/dc/17778938210904ccc958e96b5f0abff0be8eb4f6ff_thumbnail_600x.webp,2026-06-02T16:19:31+08:00,,,,,SAVE S$3.05,https://sg.shein.com/Y2K-Style-Pink-Hibiscus-Graphic-Women-s-Retro-Surfing-Casual-T-Shirt-Enjoy-Every-Moment-Of-Summer-Ladies-Vintage-Beach-Holiday-Loose-Top-p-450499685.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_450499685%7C0-2,https://sg.shein.com/Y2K-Style-Pink-Hibiscus-Graphic-Women-s-Retro-Surfing-Casual-T-Shirt-Enjoy-Every-Moment-Of-Summer-Ladies-Vintage-Beach-Holiday-Loose-Top-p-450499685.html,True,"mallCode,pageListType,detailBusinessFrom",False,,450499685,True
49943528,1,1,1,"Sweetra Vintage Elegant Jacquard Pleated Wide-Leg Pants For Women, Autumn/Winter Fall Cloth For Women",S$15.19,https://sg.shein.com/Sweetra-Vintage-Elegant-Jacquard-Pleated-Wide-Leg-Pants-For-Women-Autumn-Winter-Fall-Cloth-For-Women-p-49943528.html,https://img.ltwebstatic.com/images3_pi/2024/12/09/5f/17337410338e67b16a460fce2c4d880ccc0a2dd73c_thumbnail_600x.webp,2026-06-02T16:19:31+08:00,,-5%,(1000+),,21.4k+ sold,https://sg.shein.com/Sweetra-Vintage-Elegant-Jacquard-Pleated-Wide-Leg-Pants-For-Women-Autumn-Winter-Fall-Cloth-For-Women-p-49943528.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_49943528%7C0-2,https://sg.shein.com/Sweetra-Vintage-Elegant-Jacquard-Pleated-Wide-Leg-Pants-For-Women-Autumn-Winter-Fall-Cloth-For-Women-p-49943528.html,True,"mallCode,pageListType,detailBusinessFrom",False,,49943528,True
66675402,1,1,1,Sweetra 3pcs/Set Sexy Cut-Out Back Breathable Moisture Wicking Fitted Short Sleeve Women Top/Tee Set,S$12.99,https://sg.shein.com/Sweetra-3pcs-Set-Sexy-Cut-Out-Back-Breathable-Moisture-Wicking-Fitted-Short-Sleeve-Women-Top-Tee-Set-p-66675402.html,https://img.ltwebstatic.com/v4/j/pi/2025/04/13/74/17444736160775968808ffe630e1cf44c3d76d8749_thumbnail_600x.webp,2026-06-02T16:19:31+08:00,,,(1000+),,32.9k+ sold,https://sg.shein.com/Sweetra-3pcs-Set-Sexy-Cut-Out-Back-Breathable-Moisture-Wicking-Fitted-Short-Sleeve-Women-Top-Tee-Set-p-66675402.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_66675402%7C0-2,https://sg.shein.com/Sweetra-3pcs-Set-Sexy-Cut-Out-Back-Breathable-Moisture-Wicking-Fitted-Short-Sleeve-Women-Top-Tee-Set-p-66675402.html,True,"mallCode,pageListType,detailBusinessFrom",False,,66675402,True
44276847,1,1,1,"Draped Simple Design Suit Pants, European & American Latest Straight Leg Casual Trousers, All Season Fashionable Wide-Leg Pants Spring Black",S$17.27,https://sg.shein.com/Draped-Simple-Design-Suit-Pants-European-American-Latest-Straight-Leg-Casual-Trousers-All-Season-Fashionable-Wide-Leg-Pants-Spring-Black-p-44276847.html,https://img.ltwebstatic.com/images3_spmp/2024/09/28/e7/17274977670b2e6ef82cab55f8eaf5edb4c423fc9d_thumbnail_600x.webp,2026-06-02T16:19:31+08:00,,-4%,,,22.2k+ sold,https://sg.shein.com/Draped-Simple-Design-Suit-Pants-European-American-Latest-Straight-Leg-Casual-Trousers-All-Season-Fashionable-Wide-Leg-Pants-Spring-Black-p-44276847.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_44276847%7C0-2,https://sg.shein.com/Draped-Simple-Design-Suit-Pants-European-American-Latest-Straight-Leg-Casual-Trousers-All-Season-Fashionable-Wide-Leg-Pants-Spring-Black-p-44276847.html,True,"mallCode,pageListType,detailBusinessFrom",False,,44276847,True
