title,price,product_url,image_url,crawl_time
"Lalippa Women's V-Neck T-Shirt, Street Fashion Photography, Must-Have, Fashionable & Versatile, Holiday Outfit, V-Neck, Faux Denim, Color Blocking Design, Graphic Design, Number, Burgundy, Women's V-Neck T-Shirt",S$8.99,https://sg.shein.com/Lalippa-Women-s-V-Neck-T-Shirt-Street-Fashion-Photography-Must-Have-Fashionable-Versatile-Holiday-Outfit-V-Neck-Faux-Denim-Color-Blocking-Design-Graphic-Design-Number-Burgundy-Women-s-V-Neck-T-Shirt-p-443138653.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_443138653%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/05/19/b8/1779178463122d193b57b80732e3703bbdfa3731a1_thumbnail_600x.webp,2026-05-29T10:52:05+08:00
Qadelle Women's Blue And White Lemon Fruit Pattern Sleeveless V-Neck Waist Gathered A-Line Elegant Charming Vacation Daily Beach Commute Sexy Fashion Date French Street Retro Versatile Spring/Summer Blue And White New Sleeveless Maxi Dress,S$18.99,https://sg.shein.com/Qadelle-Women-s-Blue-And-White-Lemon-Fruit-Pattern-Sleeveless-V-Neck-Waist-Gathered-A-Line-Elegant-Charming-Vacation-Daily-Beach-Commute-Sexy-Fashion-Date-French-Street-Retro-Versatile-Spring-Summer-Blue-And-White-New-Sleeveless-Maxi-Dress-p-474652028.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_474652028%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/05/16/b3/1778913522daf4b6076e3953c0266fe7d10327a6f5_thumbnail_600x.webp,2026-05-29T10:52:05+08:00
"Selamara Recommended Best-Selling Style, Polo Collar Women's Short-Sleeve, Suitable For Daily Shopping, Dating And Commuting, Loose And Slimming, Versatile Summer Style",S$9.99,https://sg.shein.com/Selamara-Recommended-Best-Selling-Style-Polo-Collar-Women-s-Short-Sleeve-Suitable-For-Daily-Shopping-Dating-And-Commuting-Loose-And-Slimming-Versatile-Summer-Style-p-447591853.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_447591853%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/04/20/bb/1776673351006748552b7b80771196835259b3abfe_thumbnail_600x.webp,2026-05-29T10:52:05+08:00
"Sweet & Spicy Style Sakura Pink Ombre Short Sleeve T-Shirt, Korean Loose Letter Print Tee, Ins Aesthetic Casual Summer",S$4.46,https://sg.shein.com/Sweet-Spicy-Style-Sakura-Pink-Ombre-Short-Sleeve-T-Shirt-Korean-Loose-Letter-Print-Tee-Ins-Aesthetic-Casual-Summer-p-454654532.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_454654532%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2026/04/16/0b/1776328492652831292d680e08cd63a66a404dff81_thumbnail_600x.webp,2026-05-29T10:52:05+08:00
"Women's Loose White Woven Fabric Drop Shoulder Short Sleeve Top, Perfect For Summer Bohemian Style.",S$8.99,https://sg.shein.com/Women-s-Loose-White-Woven-Fabric-Drop-Shoulder-Short-Sleeve-Top-Perfect-For-Summer-Bohemian-Style-p-466828613.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_466828613%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2026/05/06/35/17780693866d1757e95e9e5feefa9aeb58aa12712d_thumbnail_600x.webp,2026-05-29T10:52:05+08:00
"Summer Fashion Striped Single-Breasted Drop Shoulder Short Sleeve Shirt, Polyester Contrast Color Front Button Closure, Short Front Long Back Design",S$0.84,https://sg.shein.com/Summer-Fashion-Striped-Single-Breasted-Drop-Shoulder-Short-Sleeve-Shirt-Polyester-Contrast-Color-Front-Button-Closure-Short-Front-Long-Back-Design-p-402164990.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_402164990%7C0-2,https://sc.ltwebstatic.com/she_dist/images/bg-grey-solid-color-fc04c1310d.png,2026-05-29T10:52:05+08:00
"Floral Print Ruffle Collar Blouse, Polyester Fabric, Suitable For Vacation, Daily Wear, Travel, Spring/Summer",S$13.99,https://sg.shein.com/Floral-Print-Ruffle-Collar-Blouse-Polyester-Fabric-Suitable-For-Vacation-Daily-Wear-Travel-Spring-Summer-p-433577644.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_433577644%7C0-2,https://sc.ltwebstatic.com/she_dist/images/bg-grey-solid-color-fc04c1310d.png,2026-05-29T10:52:05+08:00
"Bow Lace Camisole Top, Fitted Sleeveless Undershirt For Women Casual Black Summer",S$1.44,https://sg.shein.com/Bow-Lace-Camisole-Top-Fitted-Sleeveless-Undershirt-For-Women-Casual-Black-Summer-p-431615009.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_431615009%7C0-2,https://sc.ltwebstatic.com/she_dist/images/bg-grey-solid-color-fc04c1310d.png,2026-05-29T10:52:05+08:00
Flexra Women's Street Style Elastic Casual Sports Denim Wide Leg Pants,S$23.49,https://sg.shein.com/Flexra-Women-s-Street-Style-Elastic-Casual-Sports-Denim-Wide-Leg-Pants-p-426960240.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_426960240%7C0-2,https://sc.ltwebstatic.com/she_dist/images/bg-grey-solid-color-fc04c1310d.png,2026-05-29T10:52:05+08:00
"1pc Floral Print Mesh Sheer Blouse, Lace Patchwork Printed Women's Summer Top. Elegant Floral Printed Blouse, Fashionable Patchwork Summer Shirt For Women, Suitable For Beach, School, Party, Travel In Spring, Summer, Autumn",S$14.49,https://sg.shein.com/1pc-Floral-Print-Mesh-Sheer-Blouse-Lace-Patchwork-Printed-Women-s-Summer-Top-Elegant-Floral-Printed-Blouse-Fashionable-Patchwork-Summer-Shirt-For-Women-Suitable-For-Beach-School-Party-Travel-In-Spring-Summer-Autumn-p-453389525.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_453389525%7C0-2,https://sc.ltwebstatic.com/she_dist/images/bg-grey-solid-color-fc04c1310d.png,2026-05-29T10:52:05+08:00
Franclia Women's Fashionable Versatile Floral & Parrot Print Round Neck Blouse,S$10.99,https://sg.shein.com/Franclia-Women-s-Fashionable-Versatile-Floral-Parrot-Print-Round-Neck-Blouse-p-464342368.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_464342368%7C0-2,https://sc.ltwebstatic.com/she_dist/images/bg-grey-solid-color-fc04c1310d.png,2026-05-29T10:52:05+08:00
"EMERY ROSE Women's Casual Everyday Commute Minimalist Solid Color Notch Neck Cap Sleeve Top, Summer",S$10.49,https://sg.shein.com/EMERY-ROSE-Women-s-Casual-Everyday-Commute-Minimalist-Solid-Color-Notch-Neck-Cap-Sleeve-Top-Summer-p-445976009.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_445976009%7C0-2,https://sc.ltwebstatic.com/she_dist/images/bg-grey-solid-color-fc04c1310d.png,2026-05-29T10:52:05+08:00
"SHEIN Franclia French Elegant V-Neck Black & White Contrast Ruffle Trim Short Sleeve Chiffon Blouse, Slim Fit Commuting Wear, Summer New",S$6.99,https://sg.shein.com/SHEIN-Franclia-French-Elegant-V-Neck-Black-White-Contrast-Ruffle-Trim-Short-Sleeve-Chiffon-Blouse-Slim-Fit-Commuting-Wear-Summer-New-p-456325049.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_456325049%7C0-2,https://sc.ltwebstatic.com/she_dist/images/bg-grey-solid-color-fc04c1310d.png,2026-05-29T10:52:05+08:00
Rovax Women's Casual Bear Print Pants,S$12.99,https://sg.shein.com/Rovax-Women-s-Casual-Bear-Print-Pants-p-440258053.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_440258053%7C0-2,https://sc.ltwebstatic.com/she_dist/images/bg-grey-solid-color-fc04c1310d.png,2026-05-29T10:52:05+08:00
"Easowa Women Solid Color High Waist Drawstring Double Pocket Loose Casual Shorts,Casual",S$11.99,https://sg.shein.com/Easowa-Women-Solid-Color-High-Waist-Drawstring-Double-Pocket-Loose-Casual-Shorts-Casual-p-33368092.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_33368092%7C0-2,https://sc.ltwebstatic.com/she_dist/images/bg-grey-solid-color-fc04c1310d.png,2026-05-29T10:52:05+08:00
"1pc Solid Color Woven Fabric Pocket Women's Capri Pants, Suitable For Night Date, Holiday, Daily Wear, Birthday Party, Singles Party, Summer, Lightweight Denim Effect Color",S$12.99,https://sg.shein.com/1pc-Solid-Color-Woven-Fabric-Pocket-Women-s-Capri-Pants-Suitable-For-Night-Date-Holiday-Daily-Wear-Birthday-Party-Singles-Party-Summer-Lightweight-Denim-Effect-Color-p-425197869.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_425197869%7C0-2,https://sc.ltwebstatic.com/she_dist/images/bg-grey-solid-color-fc04c1310d.png,2026-05-29T10:52:05+08:00
"Elenzga Women's Polka Dot Halter Neck Tie Waist Bodycon Mini Dress, Elegant Casual Vacation Romantic White Bubble Dress",S$15.49,https://sg.shein.com/Elenzga-Women-s-Polka-Dot-Halter-Neck-Tie-Waist-Bodycon-Mini-Dress-Elegant-Casual-Vacation-Romantic-White-Bubble-Dress-p-390520356.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_390520356%7C0-2,https://sc.ltwebstatic.com/she_dist/images/bg-grey-solid-color-fc04c1310d.png,2026-05-29T10:52:05+08:00
EMERY ROSE Women's Ruffle Collar Short Sleeve Single-Breasted Striped Shirt,S$9.49,https://sg.shein.com/EMERY-ROSE-Women-s-Ruffle-Collar-Short-Sleeve-Single-Breasted-Striped-Shirt-p-437578225.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_437578225%7C0-2,https://sc.ltwebstatic.com/she_dist/images/bg-grey-solid-color-fc04c1310d.png,2026-05-29T10:52:05+08:00
"Poéselle Women's Brown Shawl Collar Casual Top,Elegant Blouses For Women ,Casual Women's, New Year's For Women,Suitable For Daily Wear, Going Out, Commuting Fall/Winter, Batwing Sleeve Top, Coffee Brown Top, Dark Brown Top",S$12.99,https://sg.shein.com/Po-selle-Women-s-Brown-Shawl-Collar-Casual-Top-Elegant-Blouses-For-Women-Casual-Women-s-New-Year-s-For-Women-Suitable-For-Daily-Wear-Going-Out-Commuting-Fall-Winter-Batwing-Sleeve-Top-Coffee-Brown-Top-Dark-Brown-Top-p-252275430.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_252275430%7C0-2,https://sc.ltwebstatic.com/she_dist/images/bg-grey-solid-color-fc04c1310d.png,2026-05-29T10:52:05+08:00
