title,price,product_url,image_url,crawl_time,original_price,discount,rating,review_count,sales_tag
"SuriyaCove Paris Skyline Women's T-Shirt, Paris Cool Line Art Print Round Neck Short Sleeve Casual Tee Paris Graphic Tees Women Tops",S$0.60,https://sg.shein.com/SuriyaCove-Paris-Skyline-Women-s-T-Shirt-Paris-Cool-Line-Art-Print-Round-Neck-Short-Sleeve-Casual-Tee-Paris-Graphic-Tees-Women-Tops-p-37548052.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_37548052%7C0-2,https://img.ltwebstatic.com/images3_pi/2024/06/26/85/1719379242d938ec90deb0373b184672253367e608_thumbnail_600x.webp,2026-05-31T14:23:46+08:00,,,,,Save S$0.60
"SHEIN Women's Round Neck Short Sleeve Casual Striped T-Shirt, Versatile For Daily Wear, Summer",S$5.17,https://sg.shein.com/SHEIN-Women-s-Round-Neck-Short-Sleeve-Casual-Striped-T-Shirt-Versatile-For-Daily-Wear-Summer-p-312843061.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_312843061%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/03/04/92/17726146228184b7138da799a43a31e79f87a5d59c_thumbnail_600x.webp,2026-05-31T14:23:46+08:00,,-35%,,,
"Attitoon Women's Casual Contrast Color Polo Collar Short Sleeve T-Shirt, Daily Wear,Summer Clothing,Vintage,95% Cotton,Casual,Sport,Graduation,Summer Top",S$1.56,https://sg.shein.com/Attitoon-Women-s-Casual-Contrast-Color-Polo-Collar-Short-Sleeve-T-Shirt-Daily-Wear-Summer-Clothing-Vintage-95-Cotton-Casual-Sport-Graduation-Summer-Top-p-418943629.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_418943629%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/03/11/ae/17732217999160ec496b35b9938a4bc94a736fffaf_thumbnail_600x.webp,2026-05-31T14:23:46+08:00,,,,,Save S$1.56
"Sundraya V-Neck Minimalist Pullover Short Sleeve T-Shirt, Loose Fit Waist Cinched Women's Tee",S$5.99,https://sg.shein.com/Sundraya-V-Neck-Minimalist-Pullover-Short-Sleeve-T-Shirt-Loose-Fit-Waist-Cinched-Women-s-Tee-p-189008591.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_189008591%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2025/09/19/14/1758277310b392d97442a6598d1ca70b83a75a8660_thumbnail_600x.webp,2026-05-31T14:23:46+08:00,,,,,
"Vintage Y2K #18 Soccer Jersey - White & Blue Mesh Loose Fit Top For Match Day, Women's #18 Soccer Jersey - White & Blue Mesh V-Neck Vintage Loose Fit Top For Streetwear Casual Summer",S$5.49,https://sg.shein.com/Vintage-Y2K-18-Soccer-Jersey-White-Blue-Mesh-Loose-Fit-Top-For-Match-Day-Women-s-18-Soccer-Jersey-White-Blue-Mesh-V-Neck-Vintage-Loose-Fit-Top-For-Streetwear-Casual-Summer-p-420106476.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_420106476%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2026/05/27/e3/1779878814b67ee16f61e2d019fb38a53fcd51f1ba_thumbnail_600x.webp,2026-05-31T14:23:46+08:00,,,,,90+ sold
SHEIN ICON Women's Solid Color Cutout Design Casual Bodysuit,S$12.49,https://sg.shein.com/SHEIN-ICON-Women-s-Solid-Color-Cutout-Design-Casual-Bodysuit-p-477162358.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_477162358%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/05/20/9a/17792835682bc07f1a2e8b277ada65017cc78a5ac3_thumbnail_600x.webp,2026-05-31T14:23:46+08:00,,,,,NEW
"Easowa Women's Textured Fabric Round Neck Short Sleeve Beige T-Shirt, Summer Knit Top Women Knitted Tops Cream Sweater Teacher Shirts",S$9.49,https://sg.shein.com/Easowa-Women-s-Textured-Fabric-Round-Neck-Short-Sleeve-Beige-T-Shirt-Summer-Knit-Top-Women-Knitted-Tops-Cream-Sweater-Teacher-Shirts-p-96874959.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_96874959%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2025/07/11/ea/1752215974c049c220f88825e88cdff030ae523f82_thumbnail_600x.webp,2026-05-31T14:23:46+08:00,,,,,
INAWLY Lace Trim Splice Camisole Top For Women,S$0.33,https://sg.shein.com/INAWLY-Lace-Trim-Splice-Camisole-Top-For-Women-p-45123519.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_45123519%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2025/06/06/a4/17492016867f4e932c9f4a20b9805a4e201ed90cc2_thumbnail_600x.webp,2026-05-31T14:23:46+08:00,,,,,Save S$0.33
"Cartoon Print Short Sleeve Mid-Length T-Shirt, Fashionable Casual Top For Women Black Summer",S$5.33,https://sg.shein.com/Cartoon-Print-Short-Sleeve-Mid-Length-T-Shirt-Fashionable-Casual-Top-For-Women-Black-Summer-p-339921098.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_339921098%7C0-2,https://img.ltwebstatic.com/v4/p/spmp/2025/12/14/45/17657061154f6690bd88595a9b22d241fc19439825_thumbnail_600x.webp,2026-05-31T14:23:46+08:00,,-3%,,,High Repeat Customers
"Glimmora Lace Trim Slim Fit Camisole, Versatile And Slimming, Summer",S$7.99,https://sg.shein.com/Glimmora-Lace-Trim-Slim-Fit-Camisole-Versatile-And-Slimming-Summer-p-447721643.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_447721643%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/05/05/44/177796274825b62a971de477127f4c60b17c7a7b50_thumbnail_600x.webp,2026-05-31T14:23:46+08:00,,,,,
