product_id,appear_count,appear_pages,title,product_url
31173201,3,"4,7,9",DAZY Ladies' Solid Drawstring Waist Utility Shorts,https://sg.shein.com/DAZY-Ladies-Solid-Drawstring-Waist-Utility-Shorts-p-31173201.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_31173201%7C0-2
350566412,3,"5,6,9",FRIFUL 2-In-1 Splice Contrast Color Pleated Drawstring Tie Slim Casual Versatile T-Shirt Summer Cute Tops,https://sg.shein.com/FRIFUL-2-In-1-Splice-Contrast-Color-Pleated-Drawstring-Tie-Slim-Casual-Versatile-T-Shirt-Summer-Cute-Tops-p-350566412.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_350566412%7C0-2
141460365,3,"5,7,8",Women's Summer Solid Color V-Neck Short Sleeve Casual Loose T-Shirt,https://sg.shein.com/Women-s-Summer-Solid-Color-V-Neck-Short-Sleeve-Casual-Loose-T-Shirt-p-141460365.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_141460365%7C0-2
474968516,3,"6,7,9","Swim Mod Women's Beach Vacation Red & White Striped Ruched One-Piece Swimsuit, Sexy Tie-Up",https://sg.shein.com/Swim-Mod-Women-s-Beach-Vacation-Red-White-Striped-Ruched-One-Piece-Swimsuit-Sexy-Tie-Up-p-474968516.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_474968516%7C0-2
458028554,3,"6,7,9","Polovedo Official White & Brown Color Block Cutout One-Piece Swimsuit, Elegant Swimwear For Beach Vacation & Party",https://sg.shein.com/Polovedo-Official-White-Brown-Color-Block-Cutout-One-Piece-Swimsuit-Elegant-Swimwear-For-Beach-Vacation-Party-p-458028554.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_458028554%7C0-2
470723064,3,"6,7,9",SHEIN Clasi Women's Summer Casual Vacation Floral Print Batwing Sleeve Loose Blouse,https://sg.shein.com/SHEIN-Clasi-Women-s-Summer-Casual-Vacation-Floral-Print-Batwing-Sleeve-Loose-Blouse-p-470723064.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_470723064%7C0-2
418071856,3,"7,9,10","Women's Transparent Batwing Sleeve Round Neck Top, Regular Asymmetric Hem, Knit Fabric With Moderate Stretch Black Summer",https://sg.shein.com/Women-s-Transparent-Batwing-Sleeve-Round-Neck-Top-Regular-Asymmetric-Hem-Knit-Fabric-With-Moderate-Stretch-Black-Summer-p-418071856.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_418071856%7C0-2
432323792,2,"1,5","Andrea Bello Elegant Floral Fabric Backless Waist Cinched Princess A-Line Dress, Feminine & Graceful, Suitable For Early Spring, Pink",https://sg.shein.com/Andrea-Bello-Elegant-Floral-Fabric-Backless-Waist-Cinched-Princess-A-Line-Dress-Feminine-Graceful-Suitable-For-Early-Spring-Pink-p-432323792.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_432323792%7C0-2
430107734,2,"1,4","Elegant Charming Wedding Party Holiday Date Spaghetti Strap Dress, Elegant Dress Women, Elegant Dresses For Party, Wedding Guest Dresses, Summer Dresses For Women",https://sg.shein.com/Elegant-Charming-Wedding-Party-Holiday-Date-Spaghetti-Strap-Dress-Elegant-Dress-Women-Elegant-Dresses-For-Party-Wedding-Guest-Dresses-Summer-Dresses-For-Women-p-430107734.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_430107734%7C0-2
433902724,2,"1,8",Resyla Women's Solid Color Pleated Casual Versatile Daily Wear Short Sleeve T-Shirt,https://sg.shein.com/Resyla-Women-s-Solid-Color-Pleated-Casual-Versatile-Daily-Wear-Short-Sleeve-T-Shirt-p-433902724.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_433902724%7C0-2
343429619,2,"1,5","QIANZHIDU Women's Elegant Bohemian Sexy Casual Romantic Vacation High Slit Camisole Maxi Dress, High Stretch Solid Color Wrap Around Scarf Collar Maxi Dress Suitable For Party, Wedding, Daily Wear, Music Festival, Summer Vacation, Beach",https://sg.shein.com/QIANZHIDU-Women-s-Elegant-Bohemian-Sexy-Casual-Romantic-Vacation-High-Slit-Camisole-Maxi-Dress-High-Stretch-Solid-Color-Wrap-Around-Scarf-Collar-Maxi-Dress-Suitable-For-Party-Wedding-Daily-Wear-Music-Festival-Summer-Vacation-Beach-p-343429619.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_343429619%7C0-2
428253213,2,"1,6","SHEIN EZwear Women's Black Woven Smock Blouse,Elegant Summer Puff Sleeve Top For Tea Party,Casual Modern Pinterest Outfit,New Arrival Clothes For Teens & Woman",https://sg.shein.com/SHEIN-EZwear-Women-s-Black-Woven-Smock-Blouse-Elegant-Summer-Puff-Sleeve-Top-For-Tea-Party-Casual-Modern-Pinterest-Outfit-New-Arrival-Clothes-For-Teens-Woman-p-428253213.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_428253213%7C0-2
387886013,2,"1,6",DAZY Women's Summer Square Neck Textured Fabric A-Line Hem Short Sleeve Casual Sexy T-Shirt Babydoll Top Cute Tops,https://sg.shein.com/DAZY-Women-s-Summer-Square-Neck-Textured-Fabric-A-Line-Hem-Short-Sleeve-Casual-Sexy-T-Shirt-Babydoll-Top-Cute-Tops-p-387886013.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_387886013%7C0-2
460258903,2,"1,9","EMERY ROSE Navy Blue Casual Minimalist Women's Shirt, Suitable For Summer,Summer Top",https://sg.shein.com/EMERY-ROSE-Navy-Blue-Casual-Minimalist-Women-s-Shirt-Suitable-For-Summer-Summer-Top-p-460258903.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_460258903%7C0-2
345338096,2,"1,2","SHEIN Women's Casual Letter Print Short Sleeve Slim Fit T-Shirt, Summer",https://sg.shein.com/SHEIN-Women-s-Casual-Letter-Print-Short-Sleeve-Slim-Fit-T-Shirt-Summer-p-345338096.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_345338096%7C0-2
480029169,2,"1,5","SHEIN PETITE Gold Color Brooch Decor Asymmetric Neck Ruched Fishtail Skirt One Shoulder Dress,Fall Wedding Guest Dress,Party Women Dresses For",https://sg.shein.com/SHEIN-PETITE-Gold-Color-Brooch-Decor-Asymmetric-Neck-Ruched-Fishtail-Skirt-One-Shoulder-Dress-Fall-Wedding-Guest-Dress-Party-Women-Dresses-For-p-480029169.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_480029169%7C0-2
100167766,2,"1,6",Pariaura Women's Floral Print Ruffle Hem Short Sleeve Vacation Fashion Blouse,https://sg.shein.com/Pariaura-Women-s-Floral-Print-Ruffle-Hem-Short-Sleeve-Vacation-Fashion-Blouse-p-100167766.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_100167766%7C0-2
456325049,2,"1,2","SHEIN Franclia French Elegant V-Neck Black & White Contrast Ruffle Trim Short Sleeve Chiffon Blouse, Slim Fit Commuting Wear, Summer New",https://sg.shein.com/SHEIN-Franclia-French-Elegant-V-Neck-Black-White-Contrast-Ruffle-Trim-Short-Sleeve-Chiffon-Blouse-Slim-Fit-Commuting-Wear-Summer-New-p-456325049.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_456325049%7C0-2
407174112,2,"1,5","Katetique Sleeveless Ruffle Hem Solid Color Mini Sundress, Elegant Sweet Cute Fit Dress, Suitable For Romantic Dates, Parties, Formal Gatherings, Bridesmaid Dresses, Summer Dresses, Tea Party Dresses, New Year, Valentine's Day, Birthday Mini Dress, Pink Dress",https://sg.shein.com/Katetique-Sleeveless-Ruffle-Hem-Solid-Color-Mini-Sundress-Elegant-Sweet-Cute-Fit-Dress-Suitable-For-Romantic-Dates-Parties-Formal-Gatherings-Bridesmaid-Dresses-Summer-Dresses-Tea-Party-Dresses-New-Year-Valentine-s-Day-Birthday-Mini-Dress-Pink-Dress-p-407174112.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_407174112%7C0-2
70914759,2,"1,2","FRIFUL Women's Short Sleeve Striped T-Shirt, Fashionable For Summer",https://sg.shein.com/FRIFUL-Women-s-Short-Sleeve-Striped-T-Shirt-Fashionable-For-Summer-p-70914759.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_70914759%7C0-2
439435136,2,"1,2","Lalippa Letter & Numeral Print V-Neck T-Shirt, Fashionable & Minimalist, Gift For Friends",https://sg.shein.com/Lalippa-Letter-Numeral-Print-V-Neck-T-Shirt-Fashionable-Minimalist-Gift-For-Friends-p-439435136.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_439435136%7C0-2
10294783,2,"1,2",DAZY High Waist Wide Leg Shorts,https://sg.shein.com/DAZY-High-Waist-Wide-Leg-Shorts-p-10294783.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_10294783%7C0-2
437554229,2,"1,6","SHEIN Elenzya Women's Elegant Office Suit Pants,High-Waisted Beige Summer Striped Pleated Elastic Waist Loose Wide Leg Casual Trousers For Daily Commute Fashion",https://sg.shein.com/SHEIN-Elenzya-Women-s-Elegant-Office-Suit-Pants-High-Waisted-Beige-Summer-Striped-Pleated-Elastic-Waist-Loose-Wide-Leg-Casual-Trousers-For-Daily-Commute-Fashion-p-437554229.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_437554229%7C0-2
461059446,2,"1,3","Sunnyshic Women's Polka Dot Contrast Lace Bandeau Backless Fitted Dress, Sexy Vintage Style For Spring/Summer, Suitable For Dates, Parties, Beach Vacations",https://sg.shein.com/Sunnyshic-Women-s-Polka-Dot-Contrast-Lace-Bandeau-Backless-Fitted-Dress-Sexy-Vintage-Style-For-Spring-Summer-Suitable-For-Dates-Parties-Beach-Vacations-p-461059446.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_461059446%7C0-2
436362228,2,"1,6","Women's Outdoor Cargo Pants, Lightweight Casual Sports Trousers With Large Pockets For Spring/Summer, Suitable For Outdoor Hiking And Daily Wear, With Zipper Pockets And Drawstring Black",https://sg.shein.com/Women-s-Outdoor-Cargo-Pants-Lightweight-Casual-Sports-Trousers-With-Large-Pockets-For-Spring-Summer-Suitable-For-Outdoor-Hiking-And-Daily-Wear-With-Zipper-Pockets-And-Drawstring-Black-p-436362228.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_436362228%7C0-2
428549999,2,"1,2","Women's Summer Ice Silk Breathable Running Pants, Quick-Dry Lightweight Sports Trousers With Zipper Pockets & Elastic Waistband For Fitness & Jogging Spring",https://sg.shein.com/Women-s-Summer-Ice-Silk-Breathable-Running-Pants-Quick-Dry-Lightweight-Sports-Trousers-With-Zipper-Pockets-Elastic-Waistband-For-Fitness-Jogging-Spring-p-428549999.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_428549999%7C0-2
166053086,2,"1,2","Franclia Women's Casual Minimalist Collared Batwing Sleeve Shirt, Summer",https://sg.shein.com/Franclia-Women-s-Casual-Minimalist-Collared-Batwing-Sleeve-Shirt-Summer-p-166053086.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_166053086%7C0-2
453574479,2,"1,2",Franclia Women's Round Neck Color Block Casual Versatile Daily Wear Short Sleeve T-Shirt,https://sg.shein.com/Franclia-Women-s-Round-Neck-Color-Block-Casual-Versatile-Daily-Wear-Short-Sleeve-T-Shirt-p-453574479.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_453574479%7C0-2
481871317,2,"1,3",Maca Silvats Chiffon Tie-Dye Print Halter Neck Tie-Up Sleeveless Vacation Dress,https://sg.shein.com/Maca-Silvats-Chiffon-Tie-Dye-Print-Halter-Neck-Tie-Up-Sleeveless-Vacation-Dress-p-481871317.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_481871317%7C0-2
457418186,2,"1,2","Striped & Polka Dot Classic Contrast Color Office Outfit, Women's Casual Round Neck Short Sleeve Minimalist T-Shirt Summer",https://sg.shein.com/Striped-Polka-Dot-Classic-Contrast-Color-Office-Outfit-Women-s-Casual-Round-Neck-Short-Sleeve-Minimalist-T-Shirt-Summer-p-457418186.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_457418186%7C0-2
435499495,2,"1,2","Pale Blue Striped Lace Patchwork Loose Blouse, French Romantic Dropped Shoulder Design, Drapey & Breathable, Casual Chic, Suitable For Commute, Dating, Daily Wear, Light French Style Vibe Top, Summer Daily Outfit, Refreshing & Brightening Spring",https://sg.shein.com/Pale-Blue-Striped-Lace-Patchwork-Loose-Blouse-French-Romantic-Dropped-Shoulder-Design-Drapey-Breathable-Casual-Chic-Suitable-For-Commute-Dating-Daily-Wear-Light-French-Style-Vibe-Top-Summer-Daily-Outfit-Refreshing-Brightening-Spring-p-435499495.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_435499495%7C0-2
16006895,2,"1,3","Dazy Designer Women's Black Business Casual Pants,Elegant Straight Leg Winter Dress Pants For Work,School,Spring/Fall Ladies Regular Fit Flare Long Pocket Trousers",https://sg.shein.com/Dazy-Designer-Women-s-Black-Business-Casual-Pants-Elegant-Straight-Leg-Winter-Dress-Pants-For-Work-School-Spring-Fall-Ladies-Regular-Fit-Flare-Long-Pocket-Trousers-p-16006895.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_16006895%7C0-2
374102559,2,"1,8",DAZY Women's Casual Everyday Washed Slant Pocket Wide Leg Jeans,https://sg.shein.com/DAZY-Women-s-Casual-Everyday-Washed-Slant-Pocket-Wide-Leg-Jeans-p-374102559.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_374102559%7C0-2
365142725,2,"1,2","Bow Polka Dot Halter Neck Blouse For Women, Summer French Elegant Sleeveless Shirt, Unique Design White",https://sg.shein.com/Bow-Polka-Dot-Halter-Neck-Blouse-For-Women-Summer-French-Elegant-Sleeveless-Shirt-Unique-Design-White-p-365142725.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_365142725%7C0-2
64656826,2,"1,2","SHEIN VCAY 3pcs Set Women Summer Woven Fashionable Multi-Color Linen Shorts, Summer For Women, Festival For Women",https://sg.shein.com/SHEIN-VCAY-3pcs-Set-Women-Summer-Woven-Fashionable-Multi-Color-Linen-Shorts-Summer-For-Women-Festival-For-Women-p-64656826.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_64656826%7C0-2
